Category,Health
,
Date,Influenza
2020-01,47
2020-02,57
2020-03,100
2020-04,43
2020-05,21
2020-06,11
2020-07,15
2020-08,14
2020-09,26
2020-10,33
2020-11,21
2020-12,19
2021-01,13
2021-02,9
2021-03,8
2021-04,8
2021-05,7
2021-06,8
2021-07,7
2021-08,12
2021-09,20
2021-10,25
2021-11,22
2021-12,25
2022-01,21
2022-02,9
2022-03,10
2022-04,13
2022-05,11
2022-06,8
2022-07,6
2022-08,7
2022-09,15
2022-10,30
2022-11,43
2022-12,43
2023-01,16
2023-02,12
2023-03,10
2023-04,8
2023-05,7
2023-06,6
2023-07,5
2023-08,8
2023-09,16
2023-10,20
2023-11,20
2023-12,29
2024-01,23
2024-02,22
2024-03,14
2024-04,12
2024-05,8
2024-06,8
2024-07,7
2024-08,8
2024-09,15
2024-10,18
2024-11,16
2024-12,30
2025-01,44
2025-02,53
2025-03,22
2025-04,12
2025-05,8
2025-06,6
2025-07,6
2025-08,8
2025-09,15
2025-10,17
2025-11,16
