Branch,Branch Name,Date,Average Temperature(¡ÆC),Average Relative Humidity(%)
108,Seoul,2020-01,1.6,56
108,Seoul,2020-02,2.5,58
108,Seoul,2020-03,7.7,46
108,Seoul,2020-04,11.1,50
108,Seoul,2020-05,18,67
108,Seoul,2020-06,23.9,68
108,Seoul,2020-07,24.1,77
108,Seoul,2020-08,26.5,85
108,Seoul,2020-09,21.4,71
108,Seoul,2020-10,14.3,61
108,Seoul,2020-11,8,64
108,Seoul,2020-12,-0.3,58
108,Seoul,2021-01,-2.4,58
108,Seoul,2021-02,2.7,56
108,Seoul,2021-03,9,63
108,Seoul,2021-04,14.2,54
108,Seoul,2021-05,17.1,68
108,Seoul,2021-06,22.8,73
108,Seoul,2021-07,28.1,71
108,Seoul,2021-08,25.9,74
108,Seoul,2021-09,22.6,71
108,Seoul,2021-10,15.6,70
108,Seoul,2021-11,8.2,68
108,Seoul,2021-12,0.6,62
108,Seoul,2022-01,-2.2,55
108,Seoul,2022-02,-1.1,55
108,Seoul,2022-03,7.7,62
108,Seoul,2022-04,14.8,55
108,Seoul,2022-05,19.1,55
108,Seoul,2022-06,23.3,73
108,Seoul,2022-07,27.3,77
108,Seoul,2022-08,25.7,80
108,Seoul,2022-09,22.4,68
108,Seoul,2022-10,14.6,69
108,Seoul,2022-11,10,65
108,Seoul,2022-12,-2.8,59
108,Seoul,2023-01,-1.5,63
108,Seoul,2023-02,2.3,59
108,Seoul,2023-03,9.8,51
108,Seoul,2023-04,13.8,60
108,Seoul,2023-05,19.5,63
108,Seoul,2023-06,23.4,73
108,Seoul,2023-07,26.7,81
108,Seoul,2023-08,27.2,76
108,Seoul,2023-09,23.7,74
108,Seoul,2023-10,15.8,67
108,Seoul,2023-11,6.8,65
108,Seoul,2023-12,1.1,69
108,Seoul,2024-01,-0.5,67
108,Seoul,2024-02,3.8,73
108,Seoul,2024-03,7,57
108,Seoul,2024-04,16.3,56
108,Seoul,2024-05,18.5,63
108,Seoul,2024-06,24.6,61
108,Seoul,2024-07,26.6,81
108,Seoul,2024-08,29.3,73
108,Seoul,2024-09,25.5,72
108,Seoul,2024-10,16.7,70
108,Seoul,2024-11,9.7,63
108,Seoul,2024-12,0.8,56
108,Seoul,2025-01,-0.4,61
108,Seoul,2025-02,-1.2,56
108,Seoul,2025-03,8,56
108,Seoul,2025-04,13.4,61
108,Seoul,2025-05,17.8,67
108,Seoul,2025-06,24,68
108,Seoul,2025-07,28.8,72
108,Seoul,2025-08,28.2,76
108,Seoul,2025-09,23.5,76
108,Seoul,2025-10,16.5,76
