Branch,Branch Name,Date,Average Temperature(°C),Average Relative Humidity(%),Specific Humidity (g/kg)
108,Seoul,2020-01,1.6,56,2.361
108,Seoul,2020-02,2.5,58,2.608
108,Seoul,2020-03,7.7,46,2.972
108,Seoul,2020-04,11.1,50,4.063
108,Seoul,2020-05,18.0,67,8.527
108,Seoul,2020-06,23.9,68,12.472
108,Seoul,2020-07,24.1,77,14.31
108,Seoul,2020-08,26.5,85,18.267
108,Seoul,2020-09,21.4,71,11.179
108,Seoul,2020-10,14.3,61,6.122
108,Seoul,2020-11,8.0,64,4.223
108,Seoul,2020-12,-0.3,58,2.126
108,Seoul,2021-01,-2.4,58,1.785
108,Seoul,2021-02,2.7,56,2.554
108,Seoul,2021-03,9.0,63,4.449
108,Seoul,2021-04,14.2,54,5.382
108,Seoul,2021-05,17.1,68,8.175
108,Seoul,2021-06,22.8,73,12.529
108,Seoul,2021-07,28.1,71,16.744
108,Seoul,2021-08,25.9,74,15.321
108,Seoul,2021-09,22.6,71,12.035
108,Seoul,2021-10,15.6,70,7.646
108,Seoul,2021-11,8.2,68,4.55
108,Seoul,2021-12,0.6,62,2.433
108,Seoul,2022-01,-2.2,55,1.721
108,Seoul,2022-02,-1.1,55,1.886
108,Seoul,2022-03,7.7,62,4.008
108,Seoul,2022-04,14.8,55,5.699
108,Seoul,2022-05,19.1,55,7.495
108,Seoul,2022-06,23.3,73,12.917
108,Seoul,2022-07,27.3,77,17.335
108,Seoul,2022-08,25.7,80,16.378
108,Seoul,2022-09,22.4,68,11.382
108,Seoul,2022-10,14.6,69,7.064
108,Seoul,2022-11,10.0,65,4.911
108,Seoul,2022-12,-2.8,59,1.755
108,Seoul,2023-01,-1.5,63,2.09
108,Seoul,2023-02,2.3,59,2.616
108,Seoul,2023-03,9.8,51,3.8
108,Seoul,2023-04,13.8,60,5.828
108,Seoul,2023-05,19.5,63,8.808
108,Seoul,2023-06,23.4,73,12.996
108,Seoul,2023-07,26.7,81,17.607
108,Seoul,2023-08,27.2,76,17.007
108,Seoul,2023-09,23.7,74,13.418
108,Seoul,2023-10,15.8,67,7.411
108,Seoul,2023-11,6.8,65,3.951
108,Seoul,2023-12,1.1,69,2.808
108,Seoul,2024-01,-0.5,67,2.416
108,Seoul,2024-02,3.8,73,3.601
108,Seoul,2024-03,7.0,57,3.512
108,Seoul,2024-04,16.3,56,6.391
108,Seoul,2024-05,18.5,63,8.273
108,Seoul,2024-06,24.6,61,11.663
108,Seoul,2024-07,26.6,81,17.502
108,Seoul,2024-08,29.3,73,18.478
108,Seoul,2024-09,25.5,72,14.55
108,Seoul,2024-10,16.7,70,8.204
108,Seoul,2024-11,9.7,63,4.665
108,Seoul,2024-12,0.8,56,2.229
108,Seoul,2025-01,-0.4,61,2.217
108,Seoul,2025-02,-1.2,56,1.905
108,Seoul,2025-03,8.0,56,3.694
108,Seoul,2025-04,13.4,61,5.773
108,Seoul,2025-05,17.8,67,8.42
108,Seoul,2025-06,24.0,68,12.548
108,Seoul,2025-07,28.8,72,17.696
108,Seoul,2025-08,28.2,76,18.043
108,Seoul,2025-09,23.5,76,13.617
108,Seoul,2025-10,16.5,76,8.798
