url,http://datalab.naver.com/keyword/trendResult.naver?hashKey=N_6cbe446d5f92970bf65f313182c295cd
Topic,Summary
Scope,Total
Period,Daily : 2020-01-01 ~ 2025-11-15
Gender,"All(Female, Male)"
Age ,All
Date,Health
2020-01-01,3.62231
2020-01-02,5.20288
2020-01-03,4.70649
2020-01-04,4.87787
2020-01-05,5.14657
2020-01-06,6.57647
2020-01-07,5.54769
2020-01-08,4.73246
2020-01-09,4.33353
2020-01-10,4.1205
2020-01-11,3.41223
2020-01-12,3.55841
2020-01-13,4.81629
2020-01-14,4.18915
2020-01-15,3.62526
2020-01-16,3.53668
2020-01-17,3.36055
2020-01-18,2.7392
2020-01-19,2.79075
2020-01-20,4.00967
2020-01-21,3.37739
2020-01-22,3.10021
2020-01-23,2.88242
2020-01-24,2.16798
2020-01-25,2.11064
2020-01-26,2.3436
2020-01-27,2.7068
2020-01-28,3.1533
2020-01-29,2.52912
2020-01-30,2.22494
2020-01-31,2.84989
2020-02-01,2.60009
2020-02-02,1.95662
2020-02-03,2.1001
2020-02-04,1.69409
2020-02-05,1.49803
2020-02-06,1.39814
2020-02-07,1.23216
2020-02-08,0.96706
2020-02-09,0.93003
2020-02-10,1.08328
2020-02-11,0.88876
2020-02-12,0.7773
2020-02-13,0.6765
2020-02-14,0.59731
2020-02-15,0.4861
2020-02-16,0.47903
2020-02-17,0.6513
2020-02-18,0.60978
2020-02-19,0.67689
2020-02-20,0.77897
2020-02-21,0.84377
2020-02-22,0.88593
2020-02-23,0.94122
2020-02-24,1.1941
2020-02-25,1.02633
2020-02-26,0.95137
2020-02-27,0.83387
2020-02-28,0.75801
2020-02-29,0.71122
2020-03-01,0.63626
2020-03-02,0.663
2020-03-03,0.59486
2020-03-04,0.51721
2020-03-05,0.47774
2020-03-06,0.4609
2020-03-07,0.36885
2020-03-08,0.35368
2020-03-09,0.44341
2020-03-10,0.42207
2020-03-11,0.40716
2020-03-12,0.44007
2020-03-13,0.37476
2020-03-14,0.31434
2020-03-15,0.31279
2020-03-16,0.4582
2020-03-17,0.67329
2020-03-18,0.52904
2020-03-19,0.43866
2020-03-20,0.44933
2020-03-21,0.34905
2020-03-22,0.29492
2020-03-23,0.39752
2020-03-24,0.35548
2020-03-25,0.32244
2020-03-26,0.33851
2020-03-27,0.34339
2020-03-28,0.27062
2020-03-29,0.29274
2020-03-30,0.34249
2020-03-31,0.31138
2020-04-01,0.30791
2020-04-02,0.29055
2020-04-03,0.2741
2020-04-04,0.25121
2020-04-05,0.23874
2020-04-06,0.30906
2020-04-07,0.31986
2020-04-08,0.26741
2020-04-09,0.24748
2020-04-10,0.22383
2020-04-11,0.25224
2020-04-12,0.18127
2020-04-13,0.25854
2020-04-14,0.24761
2020-04-15,0.18744
2020-04-16,0.23977
2020-04-17,0.22794
2020-04-18,0.15389
2020-04-19,0.16379
2020-04-20,0.22074
2020-04-21,0.21598
2020-04-22,0.22318
2020-04-23,0.25982
2020-04-24,0.21971
2020-04-25,0.14772
2020-04-26,0.16623
2020-04-27,0.23283
2020-04-28,0.22254
2020-04-29,0.2048
2020-04-30,0.14514
2020-05-01,0.15556
2020-05-02,0.13576
2020-05-03,0.14154
2020-05-04,0.17677
2020-05-05,0.14707
2020-05-06,0.21097
2020-05-07,0.19644
2020-05-08,0.19657
2020-05-09,0.15942
2020-05-10,0.15132
2020-05-11,0.22511
2020-05-12,0.2156
2020-05-13,0.22717
2020-05-14,0.23025
2020-05-15,0.21213
2020-05-16,0.15993
2020-05-17,0.1616
2020-05-18,0.22653
2020-05-19,0.23334
2020-05-20,0.22935
2020-05-21,0.37463
2020-05-22,0.31974
2020-05-23,0.18873
2020-05-24,0.18359
2020-05-25,0.26895
2020-05-26,0.25468
2020-05-27,0.24427
2020-05-28,0.23488
2020-05-29,0.22383
2020-05-30,0.17227
2020-05-31,0.20017
2020-06-01,0.2579
2020-06-02,0.23514
2020-06-03,0.22383
2020-06-04,0.21418
2020-06-05,0.19233
2020-06-06,0.14373
2020-06-07,0.16456
2020-06-08,0.22151
2020-06-09,0.21676
2020-06-10,0.20724
2020-06-11,0.19773
2020-06-12,0.17253
2020-06-13,0.14103
2020-06-14,0.13756
2020-06-15,0.19361
2020-06-16,0.19207
2020-06-17,0.18037
2020-06-18,0.18873
2020-06-19,0.15787
2020-06-20,0.13396
2020-06-21,0.15273
2020-06-22,0.1976
2020-06-23,0.20261
2020-06-24,0.20608
2020-06-25,0.19181
2020-06-26,0.15389
2020-06-27,0.11622
2020-06-28,0.14103
2020-06-29,0.19477
2020-06-30,0.20467
2020-07-01,0.19901
2020-07-02,0.17137
2020-07-03,0.16122
2020-07-04,0.12072
2020-07-05,0.14129
2020-07-06,0.1859
2020-07-07,0.17973
2020-07-08,0.1868
2020-07-09,0.17189
2020-07-10,0.15684
2020-07-11,0.12329
2020-07-12,0.12149
2020-07-13,0.17883
2020-07-14,0.16996
2020-07-15,0.15672
2020-07-16,0.15427
2020-07-17,0.1688
2020-07-18,0.1283
2020-07-19,0.1364
2020-07-20,0.17381
2020-07-21,0.1679
2020-07-22,0.16854
2020-07-23,0.15132
2020-07-24,0.14592
2020-07-25,0.12637
2020-07-26,0.12162
2020-07-27,0.15093
2020-07-28,0.14566
2020-07-29,0.14489
2020-07-30,0.13627
2020-07-31,0.13087
2020-08-01,0.10465
2020-08-02,0.11005
2020-08-03,0.13447
2020-08-04,0.12509
2020-08-05,0.13923
2020-08-06,0.1274
2020-08-07,0.12779
2020-08-08,0.09809
2020-08-09,0.10542
2020-08-10,0.14039
2020-08-11,0.16314
2020-08-12,0.15774
2020-08-13,0.1337
2020-08-14,0.13692
2020-08-15,0.11275
2020-08-16,0.12046
2020-08-17,0.16996
2020-08-18,0.19169
2020-08-19,0.21573
2020-08-20,0.21727
2020-08-21,0.21894
2020-08-22,0.16456
2020-08-23,0.18487
2020-08-24,0.26715
2020-08-25,0.2561
2020-08-26,0.25417
2020-08-27,0.2363
2020-08-28,0.24902
2020-08-29,0.18294
2020-08-30,0.17369
2020-08-31,0.27872
2020-09-01,0.29544
2020-09-02,0.29672
2020-09-03,0.31254
2020-09-04,0.34943
2020-09-05,0.28297
2020-09-06,0.26947
2020-09-07,1.23653
2020-09-08,3.23751
2020-09-09,1.45831
2020-09-10,1.15489
2020-09-11,0.90393
2020-09-12,0.66352
2020-09-13,0.53045
2020-09-14,0.92566
2020-09-15,1.11092
2020-09-16,1.18369
2020-09-17,1.20542
2020-09-18,1.0451
2020-09-19,0.66609
2020-09-20,0.52891
2020-09-21,4.42185
2020-09-22,100.0
2020-09-23,3.54311
2020-09-24,2.3337
2020-09-25,5.36899
2020-09-26,2.27225
2020-09-27,1.14062
2020-09-28,2.24512
2020-09-29,1.844
2020-09-30,0.9227
2020-10-01,0.88619
2020-10-02,0.81908
2020-10-03,0.71263
2020-10-04,0.74593
2020-10-05,1.65282
2020-10-06,2.47705
2020-10-07,1.61644
2020-10-08,1.3066
2020-10-09,1.32318
2020-10-10,2.34476
2020-10-11,0.75004
2020-10-12,1.62621
2020-10-13,1.67121
2020-10-14,1.51822
2020-10-15,1.6122
